Date,Index
01/12/2002,122.2216626
01/01/2003,138.9534027
01/02/2003,126.7277393
01/03/2003,163.5238111
01/04/2003,135.6275513
01/05/2003,102.6198169
01/06/2003,95.82729302
01/07/2003,91.74151456
01/08/2003,95.67181977
01/09/2003,106.1157687
01/10/2003,88.04379175
01/11/2003,84.91824073
01/12/2003,91.73699443
01/01/2004,96.56646453
01/02/2004,99.45730061
01/03/2004,96.78947036
01/04/2004,94.11528586
01/05/2004,92.32118143
01/06/2004,85.34598107
01/07/2004,87.54419102
01/08/2004,85.92586842
01/09/2004,100.0118881
01/10/2004,105.6951148
01/11/2004,95.24085576
01/12/2004,77.59643076
01/01/2005,73.91847692
01/02/2005,58.95004856
01/03/2005,57.55795683
01/04/2005,74.5659717
01/05/2005,70.50811873
01/06/2005,74.5613263
01/07/2005,68.71645068
01/08/2005,64.39585953
01/09/2005,91.40605426
01/10/2005,76.16368625
01/11/2005,72.21598468
01/12/2005,78.04892724
01/01/2006,79.17534929
01/02/2006,72.69299034
01/03/2006,64.22932643
01/04/2006,79.7615279
01/05/2006,70.83625709
01/06/2006,79.49433261
01/07/2006,80.56230913
01/08/2006,72.76996354
01/09/2006,67.06754022
01/10/2006,63.46447096
01/11/2006,62.51984672
01/12/2006,63.37040778
01/01/2007,79.01967432
01/02/2007,57.2026196
01/03/2007,69.88728679
01/04/2007,62.50170493
01/05/2007,74.68186845
01/06/2007,73.29653956
01/07/2007,59.32397645
01/08/2007,89.10405125
01/09/2007,100.744382
01/10/2007,89.45452955
01/11/2007,102.4411104
01/12/2007,108.5437932
01/01/2008,144.9847254
01/02/2008,108.1046891
01/03/2008,111.7123645
01/04/2008,102.1969044
01/05/2008,94.28404695
01/06/2008,94.55675519
01/07/2008,109.7889763
01/08/2008,95.87075503
01/09/2008,187.7403019
01/10/2008,189.9172898
01/11/2008,148.8425662
01/12/2008,145.9946994
01/01/2009,171.9462122
01/02/2009,187.1140268
01/03/2009,166.9033815
01/04/2009,131.8561181
01/05/2009,138.8058464
01/06/2009,130.9334837
01/07/2009,126.2821534
01/08/2009,152.5500879
01/09/2009,145.4443674
01/10/2009,138.1305467
01/11/2009,116.1623131
01/12/2009,121.2210144
01/01/2010,149.3592767
01/02/2010,132.7986515
01/03/2010,137.4700336
01/04/2010,137.0774037
01/05/2010,151.1034215
01/06/2010,140.569163
01/07/2010,180.0144633
01/08/2010,147.3090932
01/09/2010,182.1467151
01/10/2010,163.4248926
01/11/2010,179.1355864
01/12/2010,165.4078472
01/01/2011,142.1704625
